env_steps,mean_return,std_return,wallclock_s
1,-0.7035989792052506,0.5755593141749651,3.4388267993927
2501,-14.668106418860884,0.6249545837000746,24.020047903060913
5001,-94.7834043220241,9.716850185990282,45.32041072845459
7501,-153.1829023351151,32.993761100172385,66.68853998184204
10001,-23.249017755169604,80.96167138843457,87.96700835227966
12501,-133.02944434175814,21.31916942425142,108.83292388916016
15001,-71.47432243939019,8.928691842616768,130.371169090271
17501,-83.95326745940449,25.972016680384264,151.56567406654358
20001,-40.12543058236477,29.76050267598648,172.89515805244446
22501,0.736374569502617,34.95348087745889,194.32166743278503
25001,48.45220454572653,18.42343202231145,215.51068091392517
27501,-33.00880951559892,88.76252009409228,236.8006031513214
30001,31.476268439939446,179.1569928810396,258.22015714645386
32501,-44.75046448571013,26.59131669841235,279.44238090515137
35001,346.5625639379509,156.6189113974162,300.2825496196747
37501,555.2776864483807,71.61885717124518,321.2145745754242
40001,573.4703029057542,37.566385156734725,342.48648142814636
42501,646.0120804991786,37.5571141415818,363.51199650764465
45001,618.0108319636404,66.31139735955114,384.9903213977814
47501,634.4049577648975,22.704678058608653,406.3216230869293
50000,599.2262496584642,111.32614427681767,427.6112971305847
