env_steps,mean_return,std_return,wallclock_s
1,-1423.9917293444676,128.02525733198388,8.355998754501343
1001,-143.85695284083744,47.872774468224165,83.53330373764038
2001,-143.2975086382423,46.795256001612316,154.47174882888794
3001,-143.7326036120654,46.56004933703866,222.45728707313538
4001,-143.44660690648615,46.2148885391162,291.2758483886719
5001,-143.82095994184766,46.95356805959862,363.640451669693
6001,-143.88023560927792,46.2584106705968,435.06129360198975
7001,-145.0883502341648,48.096640593810896,508.3442876338959
8001,-145.64240613722606,48.10318631625725,582.1825168132782
9001,-145.6688269430412,47.93278924095115,657.2356259822845
10001,-145.42373054833186,47.42044431377666,731.1093013286591
11001,-146.7713793101099,48.966566266457484,807.3818790912628
12001,-146.2015562144958,48.6014352127299,885.2841472625732
13001,-146.4929823423221,48.116327791640224,963.2708523273468
14001,-146.60832975586908,48.52912716936195,1043.1820673942566
15001,-146.3502847052677,48.61230872616024,1129.482218503952
16001,-146.26840624309267,48.42927525896139,1216.3670017719269
17001,-146.2897144146004,48.03307108302358,1295.844110250473
18001,-146.97553366901303,48.55286799317879,1376.1159362792969
19001,-146.7945428459133,48.0551577662172,1461.7263281345367
20000,-146.65457938590026,48.60358330689524,1542.9216651916504
