env_steps,mean_return,std_return,wallclock_s
1,-1202.466309180329,170.11153099302234,2.8951499462127686
1001,-1118.541011352651,30.934332341146966,95.69624423980713
2001,-122.14221393873757,77.7329359117557,181.31796026229858
3001,-121.78878417536605,77.76580055184691,269.34060764312744
4001,-96.99583521580122,48.50293209380318,355.67354106903076
5001,-97.42432255664185,48.705060713236534,443.0013632774353
6001,-96.93230575918716,48.464847612821316,529.9943809509277
7001,-97.21471275474065,48.58671469790837,618.5067276954651
8001,-97.05350471609282,48.49513039916731,703.9917187690735
9001,-97.2294908149984,48.59319134755868,790.7563230991364
10001,-97.21619561197787,48.597827889893296,881.3644435405731
11001,-97.41189130501182,48.6933613112907,972.9149672985077
12001,-97.48735812216856,48.735414614007816,1059.9487371444702
13001,-97.62278520764205,48.79636316813621,1138.5122210979462
14001,-97.49573983303289,48.67421588137217,1219.3999574184418
15001,-97.46447987637245,48.699374129812256,1300.5486042499542
16001,-97.7102660388809,48.82016251769203,1384.331213235855
17001,-97.57419633487416,48.73381713879834,1467.3023326396942
18001,-97.55569048450951,48.70607403143979,1549.8375856876373
19001,-97.52589501139808,48.7071761831209,1635.552261352539
20000,-97.6569756303187,48.80243377081146,1718.981300354004
